,Race,Compound,Tire_Coef,Baseline_Pace
0,Abu Dhabi Grand Prix,SOFT,0.01126340622871125,-0.06344824309827576
1,Abu Dhabi Grand Prix,MEDIUM,0.007357283205084349,-0.088752065410574
2,Abu Dhabi Grand Prix,HARD,0.00018366038046156857,-0.0260233357166675
3,Bahrain Grand Prix,SOFT,-0.0008910583000217849,0.0922510618171718
4,Bahrain Grand Prix,MEDIUM,-0.0033543388405417804,0.09760780264331656
5,Bahrain Grand Prix,HARD,-0.003107943430615519,0.07426612732244678
6,Mexico City Grand Prix,SOFT,0.0007816097215027835,-0.028340494560193275
7,Mexico City Grand Prix,MEDIUM,0.0018333671219871667,-0.05895544291543004
8,Mexico City Grand Prix,HARD,0.00021267794565773046,-0.029057838954480785
